,name,Length,X1,X2,E,S,L
42,1acf_,125,2402,49.60000000000001,-16.77187496951215,-85.2667856295954,68.49491066008325
43,1ahsA,126,2403,53.400000000000006,-6.711676405950762,-84.83286998797672,78.12119358202597
44,1agrE,128,2467,54.7,-19.557219185733857,-95.70055845005368,76.14333926431982
45,1ax8_,130,2553,56.3,-11.015856989350487,-84.70400608288256,73.68814909353208
46,1aqt_,135,2538,57.300000000000004,-18.34989772981292,-87.2968106899595,68.94691296014658
47,1a3k_,137,2624,54.7,-25.717802625031176,-93.10675638921438,67.38895376418321
48,1aqzA,142,2706,59.300000000000004,-10.892635295999646,-87.59403870873894,76.7014034127393
49,1at0_,142,2827,58.4,-14.03567294281413,-85.63567504546222,71.60000210264809
50,1avgI,142,2773,58.10000000000001,-19.511235869467505,-99.15877076834005,79.64753489887255
51,1al01,143,2660,59.8,-13.779319239478129,-83.83811526219557,70.05879602271744
52,1aohA,143,2828,58.6,-17.856793271038843,-89.8905749304416,72.03378165940276
53,1ak4C,145,2792,62.60000000000001,-6.90956114239833,-87.92013583941312,81.01057469701479
54,1a3aA,145,2708,57.8,-19.119462074381385,-85.36611294210158,66.24665086772019
55,1aly_,146,2879,61.300000000000004,-14.863537772510208,-87.83231590329885,72.96877813078864
56,1ash_,147,2741,62.10000000000001,-25.02985699984197,-101.77566331208303,76.74580631224106
57,1a34A,147,2959,63.900000000000006,-14.566244742233659,-98.41941759627454,83.85317285404088
58,1amx_,150,3026,63.00000000000001,-19.928315829995565,-108.20789248292058,88.27957665292502
59,1am7A,150,2727,63.0,-17.343054544875347,-84.466010819144,67.12295627426866
60,1a6jA,150,2799,58.2,-23.50344960876934,-94.78861816485451,71.28516855608517
61,1a6m_,151,2835,63.2,-22.514071545159993,-99.1425995758816,76.62852803072161
62,1awcB,153,2811,60.00000000000001,-15.032314115687102,-96.10307801004973,81.07076389436263
63,1aep_,153,2702,64.2,-27.540550794020668,-127.92958866149462,100.38903786747395
64,1alu_,157,2954,65.30000000000001,-21.99952350525022,-101.37971030734045,79.38018680209022
65,1aa7A,158,3033,63.40000000000001,-22.883361955764876,-85.84401014724324,62.96064819147836
66,1a17_,159,2901,71.4,-8.32553555347539,-96.13654158239615,87.81100602892076
67,1allA,160,3029,68.0,-14.754937453827823,-91.47784153073457,76.72290407690674
68,1a9nA,162,3022,65.4,-23.45488183480547,-99.891497911091,76.43661607628553
69,1a73A,162,3131,72.0,-2.448653131596089,-105.79955413592288,103.35090100432679
70,1auyA,163,3395,68.30000000000001,-11.481002255461103,-102.20851504883848,90.72751279337737
71,1auiB,165,3148,72.9,-0.4145514883680178,-93.99961547232525,93.58506398395723
72,1a3c_,166,3083,68.30000000000001,-19.495528249395203,-97.74679643708299,78.25126818768778
73,1au1A,166,3147,65.9,-18.856205226741388,-101.04242375685419,82.1862185301128
74,1aihA,170,3226,73.0,-17.539289707671426,-89.10447708775746,71.56518738008603
75,1a79A,171,3394,72.0,-16.873284826348005,-96.96166380147989,80.08837897513189
76,1ae9A,171,3238,68.7,-22.572867454134414,-96.87005790215653,74.29719044802212
77,1alvA,173,3267,75.7,-15.953621299612731,-93.21652734470621,77.26290604509347
78,1amm_,174,3328,71.70000000000002,-28.71867127768645,-133.48957902331716,104.77090774563071
79,1ak7_,174,3342,70.2,-25.069680065793076,-111.65434970812066,86.58466964232758
80,1aqb_,175,3286,74.0,-13.168347478724458,-92.23034171851066,79.0619942397862
81,1aocA,175,3357,74.90000000000002,-12.279042965900215,-111.70849090405511,99.4294479381549
82,1aisA,181,3521,76.4,-24.805621253689644,-103.25319666189597,78.44757540820632
83,1am2_,181,3452,74.60000000000002,-16.485371818222486,-95.93150170347658,79.4461298852541
84,1avaC,181,3463,74.9,-16.586589659149716,-93.23255958353366,76.64596992438393
85,1atzA,184,3587,72.2,-21.25813804762251,-92.34913870961438,71.09100066199187
86,1a44_,185,3743,72.4,-15.89689081357259,-100.9557963874669,85.05890557389432
87,153l_,185,3503,72.10000000000001,-16.855624185780325,-104.98758308458815,88.13195889880782
88,1axiB,191,3843,82.30000000000001,-9.007890266835044,-95.78928508948536,86.78139482265031
89,1aoeA,192,3772,78.9,-28.449089316938416,-111.07997920308952,82.63088988615111
90,1aisB,193,3532,78.5,-26.93916559156585,-116.87392566398091,89.93476007241506
91,1ast_,200,3958,79.9,-5.781761834149162,-96.75748524591233,90.97572341176317
92,1a0fA,201,3838,81.30000000000001,-20.494725303496775,-92.65184746763077,72.157122164134
93,1avpA,204,3955,78.30000000000001,-20.60528458492042,-106.26021223642977,85.65492765150935
94,1a04A,205,3865,80.00000000000001,-20.999373064084086,-104.72752844926788,83.7281553851838
95,1an8_,206,4018,82.60000000000002,-20.425996450543312,-118.55710780748097,98.13111135693767
96,1ap8_,213,4205,88.80000000000001,-18.270774319611625,-100.29996768147566,82.02919336186403
97,1aw9_,216,4140,87.60000000000002,-7.923743243211258,-102.34308364070677,94.4193403974955
98,1at3A,217,3973,84.80000000000001,-26.41416746840993,-121.22809723382636,94.81392976541643
99,1auoA,218,4172,85.6,-19.705531859678917,-99.71300443470756,80.00747257502864
100,1aky_,218,4001,88.9,-22.75831741770331,-100.17197003635147,77.41365261864816
101,1a2zA,220,4284,84.20000000000002,-21.889405978641342,-109.18627907315295,87.2968730945116
102,1a7s_,221,4132,87.4,-22.353383440885196,-124.08522002539632,101.73183658451113
103,1a41_,221,4506,91.9,-24.050332880137425,-118.67213344335028,94.62180056321284
104,1a8rA,221,4246,94.6,-12.143962085947836,-98.96332043510535,86.81935834915751
105,1ad2_,224,4158,94.60000000000001,-29.588702728713336,-114.76078772445686,85.17208499574352
106,1a8l_,226,4322,86.9,-34.805163402460146,-115.0005393454436,80.19537594298345
107,1a7tA,227,4528,87.4,-22.61883487085258,-107.61256515607874,84.99373028522616
108,1avqA,228,4375,94.50000000000001,-14.501242319142685,-91.87370359750548,77.37246127836279
109,1aol_,228,4595,94.2,-21.264936619515407,-135.1691847758912,113.9042481563758
110,1amf_,231,4449,88.50000000000001,-38.31083188849233,-124.32318029916598,86.01234841067365
111,1atg_,231,4419,91.80000000000001,-21.652075519211273,-111.69729950080114,90.04522398158986
112,1al3_,237,4677,95.4,-25.014864412921547,-103.69009612642839,78.67523171350683
113,1autC,240,4655,95.1,-28.286283195270094,-114.22901663675748,85.94273344148738
114,1agjA,242,4691,93.70000000000002,-33.31928063893578,-124.23402981832766,90.91474917939188
115,1ah7_,245,4716,94.60000000000001,-23.948020859781824,-118.29070507499739,94.34268421521557
116,1a53_,247,4649,92.60000000000002,-40.427288993153816,-149.03518816427567,108.60789917112186
117,1aoa_,247,4519,101.90000000000003,-31.49181164397,-119.7671250075258,88.27531336355581
118,1apxA,249,4719,100.5,-21.201172735533394,-103.78974445792676,82.58857172239337
119,1axcA,249,4825,100.80000000000001,-41.43532157139907,-125.88227423961257,84.4469526682135
120,1amk_,250,4772,98.30000000000001,-26.314597894599025,-109.55628631071636,83.24168841611734
121,1a28A,251,5028,100.9,-22.881735546064544,-124.94963207220826,102.06789652614371
122,1a81A,254,4811,104.80000000000001,-24.60957758354934,-107.42353502835272,82.81395744480338
123,1a8p_,257,5059,100.9,-32.38637040799787,-115.08930152285268,82.7029311148548
124,1arb_,263,5049,99.4,-11.020737621980405,-125.448035352094,114.4272977301136
125,1ak0_,264,5022,103.20000000000002,-17.003360818500834,-121.31458245440314,104.3112216359023
126,1ad1A,264,4994,103.80000000000001,-24.32198600000899,-112.38219055979766,88.06020455978867
127,1abrB,267,5301,106.2,-13.216756620983636,-130.32127758792382,117.10452096694019
128,1ako_,268,5017,103.4,-23.063359935650933,-107.20569523761856,84.14233530196762
129,1a0p_,271,5078,108.20000000000002,-25.106183519324762,-131.55339460074475,106.44721108142
130,1af7_,274,5096,109.4,-26.72610213993379,-117.40922038512196,90.68311824518817
131,1a8q_,274,5198,101.60000000000001,-34.86024333928822,-133.23808728352662,98.3778439442384
132,1a7j_,279,5403,114.60000000000001,-25.838121663662896,-114.41218290688084,88.57406124321795
133,1a06_,279,5298,111.9,-29.578853633792665,-120.02631152800296,90.4474578942103
134,1a02N,280,5497,115.4,-29.596626893785807,-117.39793157335453,87.80130467956872
135,1aquA,281,5598,111.4,-30.071656210884683,-135.96337450944873,105.89171829856404
136,1auvA,282,5458,120.9,-14.552223255809947,-111.71470758611082,97.16248433030087
137,1a3qA,285,5559,121.5,-37.05161051193974,-123.58488525800306,86.53327474606331
138,1a4iA,285,5450,112.20000000000002,-36.83271993963093,-119.94591416595767,83.11319422632675
139,1amp_,291,5686,105.60000000000001,-19.925016295045108,-128.7683883041293,108.84337200908419
140,19hcA,292,5407,140.29999999999998,3.6096169284644524,-174.15440708653807,177.76402401500252
141,1aln_,294,5329,111.0,-21.314146800656946,-121.957725872575,100.64357907191805
142,1aua_,296,5754,124.6,-17.57485064795606,-108.04294629863091,90.46809565067485
143,1a48_,298,5860,120.80000000000001,-31.9194698803254,-116.97544386195068,85.05597398162527
144,1adt_,301,5655,122.3,-19.985294210825018,-125.91844551562815,105.93315130480313
145,1aq0A,306,5946,118.2,-27.815874560800285,-148.18595894894526,120.37008438814497
146,16vpA,311,5744,125.80000000000001,-25.727039583631814,-152.2463275468425,126.5192879632107
147,1a77_,315,6093,125.70000000000002,-43.76225604198285,-137.9623644873493,94.20010844536645
148,1axn_,323,6082,127.6,-36.85292430986279,-136.8276342575806,99.9747099477178
149,1a5t_,324,6018,132.9,-35.35742755799208,-151.88159169263145,116.52416413463936
150,12asA,327,6163,129.0,-6.885506411475131,-119.78681727250762,112.90131086103248
151,1a8e_,329,6228,125.80000000000001,-49.5821062890075,-147.20705689927775,97.62495061027025
152,1ak5_,329,6366,127.60000000000001,-29.265840538972704,-117.89228479264,88.6264442536673
153,1a0i_,332,6419,133.0,-32.6036874844599,-118.65096881377121,86.04728132931132
154,1aru_,336,6423,131.7,-13.07424727346476,-129.98314318405733,116.90889591059256
155,1a8y_,338,6451,138.4,-52.31283252924651,-168.4540129833017,116.14118045405519
156,1an9A,340,6617,131.9,-32.9877744441689,-126.36002251751154,93.37224807334263
157,1a99A,341,6588,127.60000000000002,-44.20911951189971,-141.08411443567502,96.87499492377532
158,1apmE,341,6609,136.60000000000002,-36.68052395886829,-126.8612094855223,90.180685526654
159,1afrA,345,6521,137.10000000000002,-40.467331160769966,-128.80250407625886,88.3351729154889
160,1a2oA,347,6561,132.4,-32.72459542260811,-137.65953401446347,104.93493859185537
161,1a4mA,349,6771,126.80000000000003,-31.070614429942374,-134.7791079882478,103.70849355830543
162,1a26_,351,6809,140.10000000000002,-37.017713325072016,-124.2800507352108,87.2623374101388
163,1air_,352,6810,131.60000000000002,-22.78123644454231,-144.67553627098084,121.89429982643853
164,1a6q_,363,6869,143.70000000000002,-38.70099109453337,-130.56914985011656,91.86815875558318
165,1a59_,377,7055,147.1,-20.830629762821893,-114.88412587903531,94.05349611621341
166,1auiA,378,7269,143.39999999999998,-29.53570920654594,-128.6773824022406,99.14167319569466
167,1a9xB,378,7098,142.5,-35.24492283041262,-131.89251375999652,96.6475909295839
168,1afwA,390,7180,141.90000000000003,-36.28652701945048,-148.71464252817248,112.42811550872199
169,1a12A,401,7908,150.40000000000003,-42.19833125776869,-169.97507001160852,127.77673875383982
170,1avaA,403,7619,149.60000000000002,-38.4165440090343,-156.71073368567897,118.29418967664468
171,1ajsA,412,7930,156.5,-50.48010410787853,-145.7959844030903,95.31588029521177
172,1a0tP,413,7827,167.8,11.896984660273121,-129.06605510020654,140.96303976047966
173,16pk_,415,7990,159.8,-48.44515997364576,-150.22439474697387,101.77923477332811
174,1a1vA,429,8524,172.50000000000003,-22.193206761243395,-135.5135964050038,113.3203896437604
175,1atiA,437,8246,175.90000000000003,-24.068460431903254,-129.28530721755646,105.21684678565322
176,1a0cA,437,8255,172.60000000000002,-30.092833105125248,-133.98667766104086,103.8938445559156
177,1ad3A,446,8636,171.70000000000002,-44.428183526171615,-132.62894592152736,88.20076239535575
178,1a8d_,452,8783,178.60000000000002,-45.04235847020961,-172.39343259139446,127.35107412118485
179,1aop_,456,8480,171.60000000000002,-32.76440386607733,-140.77922867512655,108.01482480904922
180,1a31A,457,8682,190.70000000000002,-57.671203558841476,-172.47652291876477,114.80531935992329
181,1a4yA,460,8440,173.3,-78.1321884662054,-287.36726890227624,209.23508043607083
182,1ax4A,464,8688,172.00000000000003,-37.66196556691599,-146.81016067166536,109.14819510474936
183,1ab4_,477,8766,192.00000000000003,-48.36561050381336,-162.74781636878538,114.38220586497202
184,1auk_,480,9195,174.0,-10.28420772142246,-169.7201816843069,159.43597396288445
185,1ac5_,483,9393,185.10000000000002,-51.637697315936094,-183.11293287978276,131.47523556384667
186,1a3wA,492,9520,191.7,-56.96776928438875,-158.82239675278515,101.8546274683964
187,1a8h_,500,9509,189.10000000000002,-72.36162796139428,-209.07741591026638,136.7157879488721
188,1a4sA,503,9743,187.0,-25.762504816136452,-142.3534366661072,116.59093184997074
189,1a6dA,503,9369,198.10000000000002,-67.03155254824257,-197.65066212730108,130.6191095790585
190,1amuA,509,9990,197.20000000000002,-63.86694417897283,-169.4895765303039,105.62263235133108
191,1a6cA,513,10098,202.5,-13.811551695020071,-130.65165673034176,116.84010503532168
192,1aozA,552,10868,204.0,-36.08833469379918,-162.9529659908858,126.8646312970866
193,1aorA,605,11478,211.90000000000003,-43.21874685921454,-207.73425227436155,164.515505415147
194,1a2vA,654,12727,254.40000000000003,-24.365791989491733,-141.80475975967124,117.43896777017952
195,1acc_,665,12920,264.4,-71.54610700811511,-212.99459671223735,141.44848970412224
196,1aa6_,696,13079,253.20000000000002,-55.67029642678855,-187.22618791421337,131.55589148742482
197,1aco_,753,14196,264.30000000000007,-52.952446178614274,-212.0375279387806,159.08508176016633
198,1a8i_,812,15277,293.79999999999995,-62.629691410165236,-211.3313309521027,148.70163954193745
199,1a9xA,1058,19726,377.20000000000005,-59.2495890866184,-249.7140426106389,190.46445352402048
